ts_iso,ts,dir,alpha,confidence,alignment_rule,chosen_timeframes,individual_signals
2025-11-21T12:30:00+05:30,1763708400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T14:30:00+05:30,1763715600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T15:30:00+05:30,1763719200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.6925431309986656,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.6925431309986656,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.697739982352959,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.6925431309986656,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.6925431309986656,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.695116948725011,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.695116948725011,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.697739982352959,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.6925431309986656,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.6925431309986656,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.6925431309986656,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T16:30:00+05:30,1763722800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5343407569424993,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5343407569424993,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5343407569424993,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.544608728354132,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5305540121539309,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5305540121539309,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5305540121539309,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5343407569424993,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.526114605337024,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5343407569424993,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5305540121539309,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.5343407569424993,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-21T17:30:00+05:30,1763726400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T11:30:00+05:30,1763791200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T11:30:00+05:30,1763791200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T11:30:00+05:30,1763791200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T11:30:00+05:30,1763791200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T11:30:00+05:30,1763791200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T11:30:00+05:30,1763791200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T15:30:00+05:30,1763805600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T15:30:00+05:30,1763805600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T15:30:00+05:30,1763805600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T15:30:00+05:30,1763805600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T15:30:00+05:30,1763805600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T15:30:00+05:30,1763805600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T16:30:00+05:30,1763809200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T16:30:00+05:30,1763809200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T16:30:00+05:30,1763809200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-22T16:30:00+05:30,1763809200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-25T16:30:00+05:30,1764068400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-11-26T09:30:00+05:30,1764129600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-01T09:30:00+05:30,1764561600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-02T13:30:00+05:30,1764662400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-07T21:30:00+05:30,1765123200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T09:30:00+05:30,1765166400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T10:30:00+05:30,1765170000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T10:30:00+05:30,1765170000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T10:30:00+05:30,1765170000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T11:30:00+05:30,1765173600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T11:30:00+05:30,1765173600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T11:30:00+05:30,1765173600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T11:30:00+05:30,1765173600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T11:30:00+05:30,1765173600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T12:30:00+05:30,1765177200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T12:30:00+05:30,1765177200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T12:30:00+05:30,1765177200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T13:30:00+05:30,1765180800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T13:30:00+05:30,1765180800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T14:30:00+05:30,1765184400000,0,0.0,0.8038443818548568,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-08T14:30:00+05:30,1765184400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-09T09:30:00+05:30,1765252800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-09T10:30:00+05:30,1765256400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-09T10:30:00+05:30,1765256400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-09T10:30:00+05:30,1765256400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-09T11:27:53.440000+05:30,1765259873440,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-09T12:19:26.148000+05:30,1765262966148,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-09T14:47:46.774000+05:30,1765271866774,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-09T14:49:21.121000+05:30,1765271961121,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-12T15:30:00+05:30,1765533600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-12T16:30:00+05:30,1765537200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-12T17:30:00+05:30,1765540800000,0,0.0,0.9544778304343435,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-12T17:30:00+05:30,1765540800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-12T18:30:00+05:30,1765544400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-12T18:30:00+05:30,1765544400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-12T18:30:00+05:30,1765544400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-12T20:30:00+05:30,1765551600000,0,0.0,0.4206131854157178,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T08:30:00+05:30,1765594800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T09:30:00+05:30,1765598400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T09:30:00+05:30,1765598400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T09:30:00+05:30,1765598400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T09:30:00+05:30,1765598400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T09:30:00+05:30,1765598400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T10:30:00+05:30,1765602000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T10:30:00+05:30,1765602000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T10:30:00+05:30,1765602000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T11:30:00+05:30,1765605600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T12:30:00+05:30,1765609200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T14:30:00+05:30,1765616400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T15:30:00+05:30,1765620000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-13T16:30:00+05:30,1765623600000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-18T09:30:00+05:30,1766030400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-18T14:30:00+05:30,1766048400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-18T14:30:00+05:30,1766048400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-18T14:30:00+05:30,1766048400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-18T15:30:00+05:30,1766052000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-18T15:30:00+05:30,1766052000000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-18T16:30:00+05:30,1766055600000,0,0.0,0.34,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T09:30:00+05:30,1766116800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T09:30:00+05:30,1766116800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T10:30:00+05:30,1766120400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T10:30:00+05:30,1766120400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T10:30:00+05:30,1766120400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T13:30:00+05:30,1766131200000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T14:30:00+05:30,1766134800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T15:30:00+05:30,1766138400000,0,0.0,0.9081084291091324,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T16:30:00+05:30,1766142000000,0,0.0,0.9017586425170286,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T17:30:00+05:30,1766145600000,0,0.0,0.7563327251050188,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-19T19:30:00+05:30,1766152800000,0,0.0,0.7742420207924594,agreement,"5m,15m","{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}, ""15m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-20T15:30:00+05:30,1766224800000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
2025-12-20T16:30:00+05:30,1766228400000,0,0.0,0.0,fallback,,"{""5m"": {""dir"": 0, ""alpha"": 0.0, ""conf"": 0.0}}"
